ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZAF,597227,Children severely wasted,0.6,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH3,104236040,I,1000,0,Total,Total,0,1,1,CNNUTSCWH3,2016,DHS,1384,1449,,,,,
ZAF,597228,Children wasted,2.5,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,1,1,CNNUTSCWH2,2016,DHS,1384,1449,,,,,
ZAF,597229,Children overweight,13.3,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WHP,104236060,I,1000,0,Total,Total,0,1,1,CNNUTSCWHP,2016,DHS,1384,1449,,,,,
ZAF,597226,Mean weight for height of children,0.6,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WHM,104236070,I,1000,0,Total,Total,0,1,1,CNNUTSCWHM,2016,DHS,1384,1449,,,,,
ZAF,654100,Mean Body Mass Index (BMI) for women,28.3,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_BMI,114563040,I,1000,0,Total,Total,0,1,1,ANNUTSWBMI,2016,DHS,3081,3210,,,,,
ZAF,654101,Women with normal BMI (18.5-24.9),34.7,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_NRM,114563050,I,1000,0,Total,Total,0,1,1,ANNUTSWNRM,2016,DHS,3081,3210,,,,,
ZAF,654102,Women who are thin according to BMI (<18.5),3.1,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_THN,114563060,I,1000,0,Total,Total,0,1,1,ANNUTSWTHN,2016,DHS,3081,3210,,,,,
ZAF,654103,Women who are mildly thin according to BMI (17.0-18.4),2.6,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_TH1,114563070,I,1000,0,Total,Total,0,1,1,ANNUTSWTH1,2016,DHS,3081,3210,,,,,
ZAF,654104,Women who are moderately thin according to BMI (<17.0),0.5,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_TH2,114563080,I,1000,0,Total,Total,0,1,1,ANNUTSWTH2,2016,DHS,3081,3210,,,,,
ZAF,654107,Women who are overweight according to BMI (25.0-29.9),26.3,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_OVW,114563100,I,1000,0,Total,Total,0,1,1,ANNUTSWOVW,2016,DHS,3081,3210,,,,,
ZAF,654106,Women who are obese according to BMI (>=30.0),35.9,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_W_OBS,114563110,I,1000,0,Total,Total,0,1,1,ANNUTSWOBS,2016,DHS,3081,3210,,,,,
ZAF,594654,Men with height below 145 cm,0.3,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_SHT,114564140,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMSHT,2016,DHS,3202,3179,,,,,
ZAF,621589,Mean Body Mass Index (BMI) for men,23,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_BMI,114564170,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMBMI,2016,DHS,2336,2457,,,,,
ZAF,621590,Men who are thin according to BMI (<18.5),9.6,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_THN,114564190,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMTHN,2016,DHS,2336,2457,,,,,
ZAF,621584,Men who are mildly thin according to BMI (17.0-18.4),7.4,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_TH1,114564200,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMTH1,2016,DHS,2336,2457,,,,,
ZAF,621585,Men who are moderately thin according to BMI (<17.0),2.2,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_TH2,114564210,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMTH2,2016,DHS,2336,2457,,,,,
ZAF,621586,Men who are overweight or obese according to BMI (>=25.0),25.1,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_OWT,114564220,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMOWT,2016,DHS,2336,2457,,,,,
ZAF,621587,Men who are overweight according to BMI (25.0-29.9),17.2,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_OVW,114564230,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMOVW,2016,DHS,2336,2457,,,,,
ZAF,621588,Men who are obese according to BMI (>=30.0),7.9,1,ZA,South Africa,2016,ZA2016DHS,AN_NUTS_M_OBS,114564240,I,10000,10000,Total 15-49,Total 15-49,0,1,1,ANNUTSMOBS,2016,DHS,2336,2457,,,,,
