ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZAF,795692,Married women currently using any method of contraception,56.3,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,NA,1,1,FPCUSMWANY,1998,DHS,5077,4948,37.5,52,,
ZAF,795693,Married women currently using any modern method of contraception,55.1,1,ZA,South Africa,1998,ZA1998DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,NA,1,1,FPCUSMWMOD,1998,DHS,5077,4948,37.5,52,,
ZAF,795515,Unmet need for family planning,16.5,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,NA,1,1,FPNADMWUNT,1998,DHS,5077,4948,37.5,52,,
ZAF,795357,Demand for family planning satisfied by modern methods,75.7,1,ZA,South Africa,1998,ZA1998DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,NA,1,1,FPNADMWPDM,1998,DHS,3695,3590,37.5,52,,
ZAF,796657,Median age at first marriage [Women]: 25-49,24.2,1,ZA,South Africa,1998,ZA1998DHS,MA_AAFM_W_M2B,41633090,I,1000,0,Total,Total,0,NA,1,1,MAAAFMWM2B,1998,DHS,3050,2841,37.5,52,,
ZAF,796685,Median age at first sexual intercourse [Women]: 25-49,18.4,1,ZA,South Africa,1998,ZA1998DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,NA,1,1,SXAAFSWM2B,1998,DHS,3050,2841,37.5,52,,
ZAF,3675,Place of delivery: Health facility,85.2,1,ZA,South Africa,1998,ZA1998DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,1998,DHS,2081,2113,37.5,52,,
ZAF,796066,Fully vaccinated (8 basic antigens),63.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,NA,1,1,CHVACCCBAS,1998,DHS,973,971,37.5,52,,
ZAF,607608,Treatment of diarrhea: Either ORS or RHF,81,1,ZA,South Africa,1998,ZA1998DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,1998,DHS,627,634,37.5,52,,
ZAF,796661,Median duration of exclusive breastfeeding,0.4,1,ZA,South Africa,1998,ZA1998DHS,CN_BFDR_C_MDE,104336020,I,1000,0,Total,Total,0,NA,1,1,CNBFDRCMDE,1998,DHS,3050,2841,37.5,52,,
ZAF,115127,Total fertility rate 15-49,2.6,1,ZA,South Africa,2016,ZA2016DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,NA,1,1,FEFRTRWTFR,2016,DHS,3050,2841,37.5,52,,
ZAF,744,Married women currently using any method of contraception,54.6,1,ZA,South Africa,2016,ZA2016DHS,FP_CUSM_W_ANY,32633010,I,1000,0,Total,Total,0,NA,1,1,FPCUSMWANY,2016,DHS,3050,2841,37.5,52,,
ZAF,745,Married women currently using any modern method of contraception,54,1,ZA,South Africa,2016,ZA2016DHS,FP_CUSM_W_MOD,32633020,I,1000,0,Total,Total,0,NA,1,1,FPCUSMWMOD,2016,DHS,3050,2841,37.5,52,,
ZAF,592860,Unmet need for family planning,14.9,1,ZA,South Africa,2016,ZA2016DHS,FP_NADM_W_UNT,32933030,I,1000,0,Total,Total,0,NA,1,1,FPNADMWUNT,2016,DHS,3050,2841,37.5,52,,
ZAF,313221,Demand for family planning satisfied by modern methods,77.8,1,ZA,South Africa,2016,ZA2016DHS,FP_NADM_W_PDM,32933150,I,1000,0,Total,Total,0,NA,1,1,FPNADMWPDM,2016,DHS,2119,1953,37.5,52,,
ZAF,227635,Median age at first sexual intercourse [Women]: 25-49,18.1,1,ZA,South Africa,2016,ZA2016DHS,SX_AAFS_W_M2B,51703090,I,1000,0,Total,Total,0,NA,1,1,SXAAFSWM2B,2016,DHS,3050,2841,37.5,52,,
ZAF,463689,Place of delivery: Health facility,96.1,1,ZA,South Africa,2016,ZA2016DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,2016,DHS,1414,1406,37.5,52,,
ZAF,509978,Fully vaccinated (8 basic antigens),61.2,1,ZA,South Africa,2016,ZA2016DHS,CH_VACC_C_BAS,93906230,I,1000,0,Total,Total,0,NA,1,1,CHVACCCBAS,2016,DHS,677,670,37.5,52,,
ZAF,545839,Treatment of diarrhea: Either ORS or RHF,80.5,1,ZA,South Africa,2016,ZA2016DHS,CH_DIAT_C_ORT,94096040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCORT,2016,DHS,356,350,37.5,52,,
ZAF,198687,Children stunted,27.4,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_HA2,104236020,I,1000,0,Total,Total,0,NA,1,1,CNNUTSCHA2,2016,DHS,1404,1468,37.5,52,,
ZAF,597228,Children wasted,2.5,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WH2,104236050,I,1000,0,Total,Total,0,NA,1,1,CNNUTSCWH2,2016,DHS,1384,1449,37.5,52,,
ZAF,26823,Children underweight,5.9,1,ZA,South Africa,2016,ZA2016DHS,CN_NUTS_C_WA2,104236090,I,1000,0,Total,Total,0,NA,1,1,CNNUTSCWA2,2016,DHS,1416,1479,37.5,52,,
ZAF,198731,Median duration of exclusive breastfeeding,0.8,1,ZA,South Africa,2016,ZA2016DHS,CN_BFDR_C_MDE,104336020,I,1000,0,Total,Total,0,NA,1,1,CNBFDRCMDE,2016,DHS,3050,2841,37.5,52,,
