Value,IndicatorOrder,CharacteristicOrder,CharacteristicId
20,63206010,0,1000
19,63206010,0,1000
26,63206020,0,1000
23,63206020,0,1000
45,63206030,0,1000
42,63206030,0,1000
15,63206040,0,1000
15,63206040,0,1000
59,63206050,0,1000
57,63206050,0,1000
66,63236020,10000,10000
21,63206010,0,1000
25,63206010,0,1000
14,63206020,0,1000
18,63206020,0,1000
35,63206030,0,1000
43,63206030,0,1000
7,63206040,0,1000
8,63206040,0,1000
42,63206050,0,1000
51,63206050,0,1000
37,63236010,10000,10000
66,63236020,10000,10000
