Value,Precision,IndicatorOrder,DataId,DenominatorUnweighted
38.3,1,250261150,795768,NA
31.2,1,250261180,795760,NA
6,1,250261190,795764,NA
11.6,1,250261210,795765,NA
0.7,1,250261220,795766,NA
100,1,250261230,795767,NA
46.4,1,250262010,795102,NA
40.8,1,250262150,795108,NA
34.1,1,250262180,795103,NA
5.7,1,250262190,795104,NA
12.8,1,250262210,795106,NA
0.7,1,250262220,795101,NA
100,1,250262230,795107,NA
95.6,1,250261010,1862,NA
56.8,1,250261020,1859,NA
1.7,1,250261030,1863,NA
1.3,1,250261040,1860,NA
26,1,250261050,1873,NA
8,1,250261060,1874,NA
1.1,1,250261070,1875,NA
2,1,250261150,1857,NA
0.4,1,250261170,1858,NA
1.6,1,250261190,1867,NA
2.4,1,250261210,1868,NA
100,1,250261230,1876,NA
96,1,250262010,456199,NA
54.3,1,250262020,456201,NA
1.4,1,250262030,456200,NA
0.9,1,250262040,456202,NA
28.1,1,250262050,456196,NA
9.9,1,250262060,456197,NA
1,1,250262070,456198,NA
1.7,1,250262150,456204,NA
0.4,1,250262170,456206,NA
1.4,1,250262190,456208,NA
2.2,1,250262210,456210,NA
100,1,250262230,456205,NA
