ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZAF,83222,Neonatal mortality rate,20,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,1998,DHS,4348,4373,15,25,,
ZAF,101020,Neonatal mortality rate,19,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,1998,DHS,4348,4373,16,23,,
ZAF,57409,Postneonatal mortality rate,26,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,1998,DHS,4348,4373,20,31,,
ZAF,83666,Postneonatal mortality rate,23,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,1998,DHS,4348,4373,19,27,,
ZAF,61831,Infant mortality rate,45,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,1998,DHS,4348,4373,38,53,,
ZAF,76067,Infant mortality rate,42,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,1998,DHS,4348,4373,37,48,,
ZAF,799142,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,1998,DHS,4348,4373,9,20,,
ZAF,66518,Child mortality rate,15,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,1998,DHS,4348,4373,12,19,,
ZAF,26522,Under-five mortality rate,59,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,1998,DHS,4348,4373,50,68,,
ZAF,775922,Under-five mortality rate,57,0,ZA,South Africa,1998,ZA1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,1998,DHS,4348,4373,50,63,,
ZAF,101666,Early neonatal deaths,66,0,ZA,South Africa,1998,ZA1998DHS,CM_PNMR_C_NEN,63236020,I,10000,10000,Total 15-49,Total 15-49,0,NA,1,1,CMPNMRCNEN,1998,DHS,4348,4373,19,31,,
ZAF,792292,Neonatal mortality rate,21,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,2016,DHS,4348,4373,13,29,,
ZAF,801557,Neonatal mortality rate,25,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,2016,DHS,4348,4373,18,31,,
ZAF,802092,Postneonatal mortality rate,14,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,2016,DHS,4348,4373,9,20,,
ZAF,101198,Postneonatal mortality rate,18,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,2016,DHS,4348,4373,14,23,,
ZAF,62500,Infant mortality rate,35,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,2016,DHS,4348,4373,26,44,,
ZAF,67910,Infant mortality rate,43,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,2016,DHS,4348,4373,35,51,,
ZAF,797370,Child mortality rate,7,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,2016,DHS,4348,4373,4,10,,
ZAF,72916,Child mortality rate,8,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,2016,DHS,4348,4373,6,10,,
ZAF,798705,Under-five mortality rate,42,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,2016,DHS,4348,4373,33,51,,
ZAF,66964,Under-five mortality rate,51,0,ZA,South Africa,2016,ZA2016DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,2016,DHS,4348,4373,42,59,,
ZAF,101330,Stillbirths,37,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NSB,63236010,I,10000,10000,Total 15-49,Total 15-49,0,NA,1,1,CMPNMRCNSB,2016,DHS,4348,4373,19,31,,
ZAF,101331,Early neonatal deaths,66,0,ZA,South Africa,2016,ZA2016DHS,CM_PNMR_C_NEN,63236020,I,10000,10000,Total 15-49,Total 15-49,0,NA,1,1,CMPNMRCNEN,2016,DHS,4348,4373,19,31,,
